Model,MDO34
Firmware Version,1.8.31

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,0.2
Horizontal Delay,0
Sample Interval,0.002
Record Length,1000
Gating,0.1% to 100.0%
Probe Attenuation,10
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.5
Vertical Position,-0.02
,
,
,
Label,
TIME,CH2
2.880e-01,-0.01
2.900e-01,-0.11
2.920e-01,-0.01
2.940e-01,-0.05
2.960e-01,-0.03
2.980e-01,-0.03
3.000e-01,-0.07
3.020e-01,-0.01
3.040e-01,-0.13
3.060e-01,-0.01
3.080e-01,-0.03
3.100e-01,-0.05
3.120e-01,-0.07
3.140e-01,-0.01
3.160e-01,-0.05
3.180e-01,-0.03
3.200e-01,-0.03
3.220e-01,0.03
3.240e-01,-0.01
3.260e-01,0.07
3.280e-01,0.01
3.300e-01,0.07
3.320e-01,0.01
3.340e-01,0.09
3.360e-01,0.03
3.380e-01,0.07
3.400e-01,0.07
3.420e-01,0.13
3.440e-01,0.05
3.460e-01,0.13
3.480e-01,0.07
3.500e-01,0.13
3.520e-01,0.09
3.540e-01,0.11
3.560e-01,0.13
3.580e-01,0.09
3.600e-01,0.15
3.620e-01,0.07
3.640e-01,0.17
3.660e-01,0.11
3.680e-01,0.15
3.700e-01,0.11
3.720e-01,0.13
3.740e-01,0.11
3.760e-01,0.15
3.780e-01,0.11
3.800e-01,0.15
3.820e-01,0.09
3.840e-01,0.15
3.860e-01,0.11
3.880e-01,0.13
3.900e-01,0.09
3.920e-01,0.13
3.940e-01,0.09
3.960e-01,0.11
3.980e-01,0.13
4.000e-01,0.13
4.020e-01,0.13
4.040e-01,0.13
4.060e-01,0.09
4.080e-01,0.11
4.100e-01,0.15
4.120e-01,0.11
4.140e-01,0.13
4.160e-01,0.09
4.180e-01,0.13
4.200e-01,0.09
4.220e-01,0.15
4.240e-01,0.07
4.260e-01,0.13
4.280e-01,0.05
4.300e-01,0.13
4.320e-01,0.07
4.340e-01,0.11
4.360e-01,0.11
4.380e-01,0.11
4.400e-01,0.11
4.420e-01,0.11
4.440e-01,0.15
4.460e-01,0.11
4.480e-01,0.11
4.500e-01,0.05
4.520e-01,0.13
4.540e-01,0.09
4.560e-01,0.11
4.580e-01,0.07
4.600e-01,0.09
4.620e-01,0.05
4.640e-01,0.11
4.660e-01,0.03
4.680e-01,0.11
4.700e-01,0.05
4.720e-01,0.11
4.740e-01,0.11
4.760e-01,0.09
4.780e-01,0.11
4.800e-01,0.09
4.820e-01,0.11
4.840e-01,0.07
4.860e-01,0.09
4.880e-01,0.07
4.900e-01,0.11
4.920e-01,0.07
4.940e-01,0.11
4.960e-01,0.07
4.980e-01,0.09
5.000e-01,0.03
5.020e-01,0.09
5.040e-01,0.01
5.060e-01,0.09
5.080e-01,0.05
5.100e-01,0.11
5.120e-01,0.09
5.140e-01,0.07
5.160e-01,0.11
5.180e-01,0.09
5.200e-01,0.13
5.220e-01,0.07
5.240e-01,0.09
5.260e-01,0.05
5.280e-01,0.07
5.300e-01,0.03
5.320e-01,0.09
5.340e-01,0.03
5.360e-01,0.09
5.380e-01,0.05
5.400e-01,0.09
5.420e-01,0.01
5.440e-01,0.05
5.460e-01,0.05
5.480e-01,0.05
5.500e-01,0.11
5.520e-01,0.07
5.540e-01,0.07
5.560e-01,0.07
5.580e-01,0.05
5.600e-01,0.05
5.620e-01,0.09
5.640e-01,0.05
5.660e-01,0.07
5.680e-01,0.01
5.700e-01,0.07
5.720e-01,0.01
5.740e-01,0.07
5.760e-01,-0.01
5.780e-01,0.07
5.800e-01,0.01
5.820e-01,0.05
5.840e-01,0.05
5.860e-01,0.05
5.880e-01,0.05
5.900e-01,0.07
5.920e-01,0.05
5.940e-01,0.07
5.960e-01,0.09
5.980e-01,0.05
6.000e-01,0.07
6.020e-01,0.01
6.040e-01,0.09
6.060e-01,0.01
6.080e-01,0.07
6.100e-01,0.05
6.120e-01,0.07
6.140e-01,0.01
6.160e-01,0.05
6.180e-01,-0.03
6.200e-01,0.05
6.220e-01,0.01
6.240e-01,0.05
6.260e-01,0.07
6.280e-01,0.07
6.300e-01,0.07
6.320e-01,0.05
6.340e-01,0.07
6.360e-01,0.03
6.380e-01,0.09
6.400e-01,0.03
6.420e-01,0.07
6.440e-01,0.01
6.460e-01,0.05
6.480e-01,0.01
6.500e-01,0.03
6.520e-01,0.01
6.540e-01,0.07
6.560e-01,-0.03
6.580e-01,0.07
6.600e-01,0.01
6.620e-01,0.07
6.640e-01,0.05
6.660e-01,0.05
6.680e-01,0.07
6.700e-01,0.03
6.720e-01,0.05
6.740e-01,0.05
6.760e-01,0.07
6.780e-01,0.01
6.800e-01,0.05
6.820e-01,0.01
6.840e-01,0.05
6.860e-01,-0.01
6.880e-01,0.05
6.900e-01,-0.01
6.920e-01,0.07
6.940e-01,-0.01
6.960e-01,0.05
6.980e-01,0.01
7.000e-01,0.05
7.020e-01,0.05
7.040e-01,0.05
7.060e-01,0.05
7.080e-01,0.05
7.100e-01,0.05
7.120e-01,0.05
7.140e-01,0.03
7.160e-01,0.03
7.180e-01,0.05
7.200e-01,0.03
7.220e-01,0.05
7.240e-01,-0.03
7.260e-01,0.05
7.280e-01,-0.01
7.300e-01,0.07
7.320e-01,-0.01
7.340e-01,0.01
7.360e-01,0.01
7.380e-01,0.01
7.400e-01,0.07
7.420e-01,0.05
7.440e-01,0.05
7.460e-01,0.03
7.480e-01,0.01
7.500e-01,0.03
7.520e-01,0.05
7.540e-01,0.01
7.560e-01,0.05
7.580e-01,-0.01
7.600e-01,0.05
7.620e-01,-0.01
7.640e-01,0.03
7.660e-01,-0.03
7.680e-01,0.03
7.700e-01,-0.03
7.720e-01,0.03
7.740e-01,0.03
7.760e-01,0.05
7.780e-01,0.03
7.800e-01,0.05
7.820e-01,0.01
7.840e-01,0.03
7.860e-01,0.05
7.880e-01,0.01
7.900e-01,0.05
7.920e-01,-0.01
7.940e-01,0.05
7.960e-01,0.01
7.980e-01,0.05
8.000e-01,0.01
8.020e-01,0.05
8.040e-01,0.01
8.060e-01,0.05
8.080e-01,-0.01
8.100e-01,0.05
8.120e-01,0.01
8.140e-01,0.01
8.160e-01,0.05
8.180e-01,0.03
8.200e-01,0.07
8.220e-01,0.03
8.240e-01,0.07
8.260e-01,0.01
8.280e-01,0.07
8.300e-01,0.01
8.320e-01,0.03
8.340e-01,0.01
8.360e-01,0.01
8.380e-01,-0.01
8.400e-01,0.05
8.420e-01,-0.03
8.440e-01,0.03
8.460e-01,-0.01
8.480e-01,0.03
8.500e-01,0.01
8.520e-01,0.03
8.540e-01,0.05
8.560e-01,0.01
8.580e-01,0.03
8.600e-01,0.03
8.620e-01,0.03
8.640e-01,-0.01
8.660e-01,0.05
8.680e-01,-0.01
8.700e-01,0.03
8.720e-01,0.01
8.740e-01,0.03
8.760e-01,-0.01
8.780e-01,0.03
8.800e-01,-0.03
8.820e-01,0.03
8.840e-01,-0.01
8.860e-01,0.03
8.880e-01,0.01
8.900e-01,0.01
8.920e-01,0.03
8.940e-01,0.03
8.960e-01,0.03
8.980e-01,0.01
9.000e-01,0.03
9.020e-01,0.01
9.040e-01,0.01
9.060e-01,0.01
9.080e-01,0.05
9.100e-01,0.01
9.120e-01,0.05
9.140e-01,-0.03
9.160e-01,0.05
9.180e-01,-0.01
9.200e-01,0.03
9.220e-01,-0.01
9.240e-01,0.03
9.260e-01,0.01
9.280e-01,0.03
9.300e-01,0.05
9.320e-01,0.01
9.340e-01,0.03
9.360e-01,0.01
9.380e-01,0.05
9.400e-01,0.01
9.420e-01,0.05
9.440e-01,-0.01
9.460e-01,0.03
9.480e-01,-0.01
9.500e-01,0.03
9.520e-01,-0.01
9.540e-01,0.03
9.560e-01,-0.03
9.580e-01,0.01
9.600e-01,-0.05
9.620e-01,0.01
9.640e-01,0.01
9.660e-01,0.05
9.680e-01,0.01
9.700e-01,0.03
9.720e-01,0.05
9.740e-01,0.01
9.760e-01,0.05
9.780e-01,-0.01
9.800e-01,0.05
9.820e-01,-0.01
9.840e-01,0.05
9.860e-01,0.01
9.880e-01,0.01
9.900e-01,-0.01
9.920e-01,0.05
9.940e-01,-0.03
9.960e-01,0.03
9.980e-01,-0.03

